LAUS Code,State FIPS Code,County FIPS Code,County Name/State Abbreviation,Year,Labor Force,Employed,Unemployed,Unemployment Rate (%)
CN2200100000000,22,001,"Acadia Parish, LA",2024,"23,532     ","22,518     ","1,014     ",4.3     
CN2200300000000,22,003,"Allen Parish, LA",2024,"7,903     ","7,519     ",384     ,4.9     
CN2200500000000,22,005,"Ascension Parish, LA",2024,"68,799     ","66,334     ","2,465     ",3.6     
CN2200700000000,22,007,"Assumption Parish, LA",2024,"9,376     ","8,964     ",412     ,4.4     
CN2200900000000,22,009,"Avoyelles Parish, LA",2024,"14,594     ","13,894     ",700     ,4.8     
CN2201100000000,22,011,"Beauregard Parish, LA",2024,"14,678     ","14,067     ",611     ,4.2     
CN2201300000000,22,013,"Bienville Parish, LA",2024,"4,568     ","4,306     ",262     ,5.7     
CN2201500000000,22,015,"Bossier Parish, LA",2024,"57,777     ","55,474     ","2,303     ",4.0     
CN2201700000000,22,017,"Caddo Parish, LA",2024,"99,122     ","94,527     ","4,595     ",4.6     
CN2201900000000,22,019,"Calcasieu Parish, LA",2024,"83,886     ","80,116     ","3,770     ",4.5     
CN2202100000000,22,021,"Caldwell Parish, LA",2024,"3,292     ","3,106     ",186     ,5.7     
CN2202300000000,22,023,"Cameron Parish, LA",2024,"1,913     ","1,826     ",87     ,4.5     
CN2202500000000,22,025,"Catahoula Parish, LA",2024,"3,415     ","3,229     ",186     ,5.4     
CN2202700000000,22,027,"Claiborne Parish, LA",2024,"4,370     ","4,102     ",268     ,6.1     
CN2202900000000,22,029,"Concordia Parish, LA",2024,"6,477     ","6,067     ",410     ,6.3     
CN2203100000000,22,031,"De Soto Parish, LA",2024,"10,993     ","10,451     ",542     ,4.9     
CN2203300000000,22,033,"East Baton Rouge Parish, LA",2024,"225,721     ","216,167     ","9,554     ",4.2     
CN2203500000000,22,035,"East Carroll Parish, LA",2024,"1,238     ","1,079     ",159     ,12.8     
CN2203700000000,22,037,"East Feliciana Parish, LA",2024,"7,342     ","7,007     ",335     ,4.6     
CN2203900000000,22,039,"Evangeline Parish, LA",2024,"11,799     ","11,225     ",574     ,4.9     
CN2204100000000,22,041,"Franklin Parish, LA",2024,"7,430     ","7,005     ",425     ,5.7     
CN2204300000000,22,043,"Grant Parish, LA",2024,"8,184     ","7,827     ",357     ,4.4     
CN2204500000000,22,045,"Iberia Parish, LA",2024,"28,515     ","27,206     ","1,309     ",4.6     
CN2204700000000,22,047,"Iberville Parish, LA",2024,"12,820     ","12,181     ",639     ,5.0     
CN2204900000000,22,049,"Jackson Parish, LA",2024,"5,697     ","5,409     ",288     ,5.1     
CN2205100000000,22,051,"Jefferson Parish, LA",2024,"208,401     ","200,108     ","8,293     ",4.0     
CN2205300000000,22,053,"Jefferson Davis Parish, LA",2024,"12,457     ","11,859     ",598     ,4.8     
CN2205500000000,22,055,"Lafayette Parish, LA",2024,"125,853     ","121,318     ","4,535     ",3.6     
